supplier,temperature_k,leak_rate,he_loss_g_year
Swagelok SS-42GSE (UHMWPE),4,4.5233707447720966e-10,0.0008589826421875323
Swagelok SS-42GSE (UHMWPE),4,5.080218046913012e-10,0.0009647272724371809
Swagelok SS-42GSE (UHMWPE),4,5.705615758781032e-10,0.0010834895427152265
Swagelok SS-42GSE (UHMWPE),4,6.408002744416009e-10,0.001216871983112397
Swagelok SS-42GSE (UHMWPE),4,7.196856730011528e-10,0.0013666744023879244
Swagelok SS-42GSE (UHMWPE),4,8.082822192522722e-10,0.0015349181738617368
Swagelok SS-42GSE (UHMWPE),4,9.077853991937559e-10,0.0017238735110093298
Swagelok SS-42GSE (UHMWPE),4,1.0195378685327303e-09,0.0019360901008051545
Swagelok SS-42GSE (UHMWPE),4,1.1450475699382812e-09,0.002174431508168482
Swagelok SS-42GSE (UHMWPE),4,1.286008080610565e-09,0.002442113815751436
Swagelok SS-42GSE (UHMWPE),4,1.4443214647272788e-09,0.0027427490204588855
Swagelok SS-42GSE (UHMWPE),4,1.6221239391291694e-09,0.0030803937722752926
Swagelok SS-42GSE (UHMWPE),4,1.8218146985669712e-09,0.0034596041130605694
Swagelok SS-42GSE (UHMWPE),4,2.046088289466015e-09,0.0038854969539381355
Swagelok SS-42GSE (UHMWPE),4,2.297970969046965e-09,0.004363819120826141
Swagelok SS-42GSE (UHMWPE),4,2.5808615404180765e-09,0.004901024899784552
Swagelok SS-42GSE (UHMWPE),4,2.8985772146510677e-09,0.005504363128543421
Swagelok SS-42GSE (UHMWPE),4,3.255405118685032e-09,0.006181975009390426
