supplier,temperature_k,size,pressure_bar,he_loss_kg_year
Swagelok SS-42GSE (UHMWPE),80,DN06,6,9.115142037086976e-08
Swagelok SS-42GSE (UHMWPE),80,DN06,7,1.0634332376601466e-07
Swagelok SS-42GSE (UHMWPE),80,DN06,8,1.2153522716115968e-07
Swagelok SS-42GSE (UHMWPE),80,DN06,9,1.367271305563046e-07
Swagelok SS-42GSE (UHMWPE),80,DN06,10,1.5191903395144962e-07
Swagelok SS-42GSE (UHMWPE),80,DN06,11,1.6711093734659453e-07
Swagelok SS-42GSE (UHMWPE),80,DN06,12,1.8230284074173952e-07
Swagelok SS-42GSE (UHMWPE),80,DN12,1,1.89898792439312e-08
Swagelok SS-42GSE (UHMWPE),80,DN12,2,3.79797584878624e-08
Swagelok SS-42GSE (UHMWPE),80,DN12,3,5.696963773179359e-08
Swagelok SS-42GSE (UHMWPE),80,DN12,4,7.59595169757248e-08
Swagelok SS-42GSE (UHMWPE),80,DN12,5,9.4949396219656e-08
Swagelok SS-42GSE (UHMWPE),80,DN12,6,1.1393927546358718e-07
Swagelok SS-42GSE (UHMWPE),80,DN12,7,1.3292915470751832e-07
Swagelok SS-42GSE (UHMWPE),80,DN12,8,1.519190339514496e-07
Swagelok SS-42GSE (UHMWPE),80,DN12,9,1.7090891319538076e-07
Swagelok SS-42GSE (UHMWPE),80,DN12,10,1.89898792439312e-07
Swagelok SS-42GSE (UHMWPE),80,DN12,11,2.0888867168324315e-07
Swagelok SS-42GSE (UHMWPE),80,DN12,12,2.2787855092717437e-07
Swagelok SS-42GSE (UHMWPE),80,DN25,1,2.3737349054913998e-08
Swagelok SS-42GSE (UHMWPE),80,DN25,2,4.7474698109827996e-08
Swagelok SS-42GSE (UHMWPE),80,DN25,3,7.121204716474199e-08
Swagelok SS-42GSE (UHMWPE),80,DN25,4,9.494939621965599e-08
Swagelok SS-42GSE (UHMWPE),80,DN25,5,1.1868674527457e-07
Swagelok SS-42GSE (UHMWPE),80,DN25,6,1.4242409432948399e-07
Swagelok SS-42GSE (UHMWPE),80,DN25,7,1.661614433843979e-07
Swagelok SS-42GSE (UHMWPE),80,DN25,8,1.8989879243931198e-07
Swagelok SS-42GSE (UHMWPE),80,DN25,9,2.1363614149422597e-07
Swagelok SS-42GSE (UHMWPE),80,DN25,10,2.3737349054914e-07
Swagelok SS-42GSE (UHMWPE),80,DN25,11,2.6111083960405394e-07
Swagelok SS-42GSE (UHMWPE),80,DN25,12,2.8484818865896797e-07
Swagelok SS-42GSE (UHMWPE),80,DN50,1,3.038380679028992e-08
Swagelok SS-42GSE (UHMWPE),80,DN50,2,6.076761358057984e-08
Swagelok SS-42GSE (UHMWPE),80,DN50,3,9.115142037086976e-08
Swagelok SS-42GSE (UHMWPE),80,DN50,4,1.2153522716115968e-07
Swagelok SS-42GSE (UHMWPE),80,DN50,5,1.5191903395144962e-07
Swagelok SS-42GSE (UHMWPE),80,DN50,6,1.8230284074173952e-07
Swagelok SS-42GSE (UHMWPE),80,DN50,7,2.1268664753202933e-07
Swagelok SS-42GSE (UHMWPE),80,DN50,8,2.4307045432231935e-07
Swagelok SS-42GSE (UHMWPE),80,DN50,9,2.734542611126092e-07
Swagelok SS-42GSE (UHMWPE),80,DN50,10,3.0383806790289925e-07
Swagelok SS-42GSE (UHMWPE),80,DN50,11,3.3422187469318906e-07
Swagelok SS-42GSE (UHMWPE),80,DN50,12,3.6460568148347903e-07
Swagelok SS-42GSE (UHMWPE),300,DN06,1,4.051174238705322e-09
Swagelok SS-42GSE (UHMWPE),300,DN06,2,8.102348477410644e-09
Swagelok SS-42GSE (UHMWPE),300,DN06,3,1.2153522716115966e-08
Swagelok SS-42GSE (UHMWPE),300,DN06,4,1.620469695482129e-08
Swagelok SS-42GSE (UHMWPE),300,DN06,5,2.025587119352661e-08
Swagelok SS-42GSE (UHMWPE),300,DN06,6,2.430704543223193e-08
Swagelok SS-42GSE (UHMWPE),300,DN06,7,2.835821967093725e-08
Swagelok SS-42GSE (UHMWPE),300,DN06,8,3.240939390964258e-08
Swagelok SS-42GSE (UHMWPE),300,DN06,9,3.646056814834791e-08
Swagelok SS-42GSE (UHMWPE),300,DN06,10,4.051174238705322e-08
Swagelok SS-42GSE (UHMWPE),300,DN06,11,4.4562916625758547e-08
