day,Q=1e-09,Q=1e-08,Q=1e-05,Q=1e-04
320,4999.99999747695,4999.999974769498,4999.974769498652,4999.7476949865195
321,4999.999997469065,4999.999974690653,4999.9746906533355,4999.746906533353
322,4999.999997461181,4999.999974611808,4999.974611808018,4999.746118080186
323,4999.999997453297,4999.999974532962,4999.974532962702,4999.745329627019
324,4999.999997445412,4999.999974454117,4999.974454117385,4999.744541173852
325,4999.999997437527,4999.999974375272,4999.974375272069,4999.743752720684
326,4999.9999974296425,4999.999974296426,4999.974296426752,4999.742964267517
327,4999.999997421758,4999.999974217581,4999.974217581435,4999.74217581435
328,4999.999997413874,4999.999974138736,4999.974138736118,4999.741387361183
329,4999.999997405989,4999.9999740598905,4999.974059890802,4999.740598908015
330,4999.999997398105,4999.9999739810455,4999.973981045485,4999.739810454848
331,4999.99999739022,4999.9999739022005,4999.973902200169,4999.739022001681
332,4999.999997382335,4999.999973823355,4999.973823354851,4999.7382335485145
333,4999.999997374451,4999.99997374451,4999.973744509534,4999.7374450953475
334,4999.999997366566,4999.999973665665,4999.973665664218,4999.73665664218
335,4999.999997358682,4999.999973586819,4999.973586818901,4999.735868189013
336,4999.9999973507975,4999.999973507974,4999.973507973585,4999.735079735846
337,4999.999997342913,4999.999973429129,4999.9734291282675,4999.734291282679
338,4999.999997335029,4999.999973350283,4999.973350282951,4999.733502829512
339,4999.999997327143,4999.999973271438,4999.973271437634,4999.732714376344
340,4999.999997319259,4999.999973192593,4999.973192592318,4999.731925923177
341,4999.9999973113745,4999.999973113747,4999.973113747001,4999.73113747001
342,4999.99999730349,4999.999973034902,4999.9730349016845,4999.730349016843
343,4999.999997295606,4999.999972956057,4999.972956056367,4999.729560563676
344,4999.999997287721,4999.999972877211,4999.972877211051,4999.7287721105085
345,4999.999997279837,4999.999972798366,4999.972798365734,4999.727983657342
346,4999.999997271952,4999.99997271952,4999.972719520418,4999.727195204175
347,4999.999997264067,4999.999972640675,4999.972640675101,4999.726406751008
348,4999.999997256183,4999.99997256183,4999.972561829784,4999.72561829784
349,4999.999997248298,4999.999972482984,4999.972482984467,4999.724829844673
350,4999.999997240414,4999.999972404139,4999.972404139151,4999.724041391506
351,4999.9999972325295,4999.999972325294,4999.972325293834,4999.723252938339
352,4999.999997224645,4999.999972246448,4999.972246448518,4999.722464485172
353,4999.999997216761,4999.999972167603,4999.9721676032,4999.721676032004
354,4999.999997208875,4999.999972088758,4999.972088757884,4999.720887578837
355,4999.999997200991,4999.999972009912,4999.972009912567,4999.7200991256705
356,4999.9999971931065,4999.999971931067,4999.97193106725,4999.7193106725035
357,4999.999997185222,4999.999971852222,4999.971852221934,4999.718522219337
358,4999.999997177338,4999.999971773376,4999.9717733766165,4999.717733766169
359,4999.999997169453,4999.999971694531,4999.9716945313,4999.716945313002
360,4999.999997161569,4999.999971615686,4999.971615685983,4999.716156859835
361,4999.9999971536845,4999.99997153684,4999.971536840667,4999.715368406668
362,4999.999997145799,4999.999971457995,4999.97145799535,4999.714579953501
363,4999.999997137915,4999.99997137915,4999.9713791500335,4999.713791500333
364,4999.99999713003,4999.999971300304,4999.971300304716,4999.713003047166
365,4999.999997122146,4999.999971221459,4999.9712214594,4999.712214593999
