T (K),P (bar),g/year
135.13924050632912,5 bar,0.5620833496705001
138.8860759493671,5 bar,0.546919599077858
142.63291139240505,5 bar,0.5325525240577085
146.37974683544303,5 bar,0.5189209478625267
150.126582278481,5 bar,0.5059698011030573
153.873417721519,5 bar,0.4936493781739271
157.62025316455697,5 bar,0.48191469973355755
161.36708860759492,5 bar,0.47072496400080477
165.1139240506329,5 bar,0.46004307276006273
168.86075949367088,5 bar,0.4498352204709339
172.60759493670886,5 bar,0.44007053689368275
176.35443037974684,5 bar,0.4307207752714799
180.1012658227848,5 bar,0.4217600394350759
183.84810126582278,5 bar,0.4131645442772143
187.59493670886076,5 bar,0.4049124049313265
191.34177215189874,5 bar,0.39698345071991653
195.08860759493672,5 bar,0.389359060542581
198.83544303797467,5 bar,0.3820220168756213
202.58227848101265,5 bar,0.3749563759736478
206.32911392405063,5 bar,0.3681473522136355
210.0759493670886,5 bar,0.36158121481575434
213.8227848101266,5 bar,0.355245195422819
217.56962025316454,5 bar,0.34912740522936114
221.31645569620252,5 bar,0.34321676052861233
225.0632911392405,5 bar,0.337502915696415
228.81012658227849,5 bar,0.331976202759585
232.55696202531647,5 bar,0.3266275768061321
236.30379746835442,5 bar,0.3214485665889361
240.0506329113924,5 bar,0.31643122975544496
243.79746835443038,5 bar,0.3115681122057248
247.54430379746836,5 bar,0.3068522111414532
251.29113924050634,5 bar,0.3022769414206256
255.0379746835443,5 bar,0.29783610487801565
258.7848101265823,5 bar,0.2935238623108129
262.53164556962025,5 bar,0.2893347078631754
266.27848101265823,5 bar,0.2852634455734102
270.0253164556962,5 bar,0.28130516787372295
273.7721518987342,5 bar,0.27745523585547704
277.5189873417722,5 bar,0.2737092611331079
281.2658227848101,5 bar,0.2700630891576174
285.0126582278481,5 bar,0.26651278384625415
288.75949367088606,5 bar,0.26305461340883124
292.50632911392404,5 bar,0.25968503726338316
296.253164556962,5 bar,0.25640069394472137
300.0,5 bar,0.25319838991908267
4.0,12 bar,45.57571018543487
7.746835443037975,12 bar,23.532556239538266
11.49367088607595,12 bar,15.861150240746053
15.240506329113924,12 bar,11.961731244682243
18.9873417721519,12 bar,9.601282945731612
22.734177215189874,12 bar,8.018888874497447
26.481012658227847,12 bar,6.884285094931846
30.227848101265824,12 bar,6.030956624203275
33.9746835443038,12 bar,5.365843673098889
37.721518987341774,12 bar,4.832860543153496
41.46835443037975,12 bar,4.396191824968687
45.21518987341772,12 bar,4.031893734209804
48.962025316455694,12 bar,3.723351711116189
52.70886075949367,12 bar,3.4586754127275263
56.45569620253165,12 bar,3.2291310355599587
60.20253164556962,12 bar,3.028159045121409
63.949367088607595,12 bar,2.8507372166661558
67.69620253164557,12 bar,2.69295520168239
71.44303797468355,12 bar,2.551722965733065
75.18987341772151,12 bar,2.424566400437276
78.9367088607595,12 bar,2.309481144739804
82.68354430379746,12 bar,2.204826151040634
86.43037974683544,12 bar,2.1092449353540452
90.17721518987342,12 bar,2.0216064596571335
93.92405063291139,12 bar,1.9409601642314578
97.67088607594937,12 bar,1.8665013502588672
101.41772151898734,12 bar,1.7975442359707217
105.16455696202532,12 bar,1.7335007725803349
108.9113924050633,12 bar,1.6738638329378683
112.65822784810126,12 bar,1.6181937548985865
116.40506329113924,12 bar,1.5661074835360396
120.15189873417721,12 bar,1.5172697449006975
123.89873417721519,12 bar,1.4713858212706803
127.64556962025317,12 bar,1.4281955988295736
131.39240506329114,12 bar,1.3874686337762447
135.13924050632912,12 bar,1.3490000392092
138.8860759493671,12 bar,1.312607037786859
142.63291139240505,12 bar,1.2781260577385003
146.37974683544303,12 bar,1.245410274870064
150.126582278481,12 bar,1.2143275226473373
153.873417721519,12 bar,1.1847585076174252
157.62025316455697,12 bar,1.1565952793605379
161.36708860759492,12 bar,1.1297399136019313
165.1139240506329,12 bar,1.1041033746241504
168.86075949367088,12 bar,1.0796045291302414
172.60759493670886,12 bar,1.0561692885448386
176.35443037974684,12 bar,1.033729860651552
180.1012658227848,12 bar,1.0122240946441823
183.84810126582278,12 bar,0.9915949062653141
187.59493670886076,12 bar,0.9717897718351836
191.34177215189874,12 bar,0.9527602817277997
195.08860759493672,12 bar,0.9344617453021944
198.83544303797467,12 bar,0.916852840501491
202.58227848101265,12 bar,0.8998953023367546
206.32911392405063,12 bar,0.8835536453127252
210.0759493670886,12 bar,0.8677949155578103
213.8227848101266,12 bar,0.8525884690147655
217.56962025316454,12 bar,0.8379057725504666
221.31645569620252,12 bar,0.8237202252686696
225.0632911392405,12 bar,0.8100069976713958
228.81012658227849,12 bar,0.796742886623004
232.55696202531647,12 bar,0.7839061843347169
236.30379746835442,12 bar,0.7714765598134465
240.0506329113924,12 bar,0.7594349514130679
243.79746835443038,12 bar,0.7477634692937393
247.54430379746836,12 bar,0.7364453067394877
251.29113924050634,12 bar,0.7254646594095013
255.0379746835443,12 bar,0.7148066517072375
258.7848101265823,12 bar,0.7044572695459509
262.53164556962025,12 bar,0.6944032988716209
266.27848101265823,12 bar,0.6846322693761846
270.0253164556962,12 bar,0.6751324028969351
273.7721518987342,12 bar,0.665892566053145
277.5189873417722,12 bar,0.656902226719459
281.2658227848101,12 bar,0.6481514139782818
285.0126582278481,12 bar,0.6396306812310099
288.75949367088606,12 bar,0.631331072181195
292.50632911392404,12 bar,0.6232440894321196
296.253164556962,12 bar,0.6153616654673311
300.0,12 bar,0.6076761358057983
