Hours,Air leak (mbar·l/s),Purity (%)
3433.56783919598,1e-04,99.97528442166606
3477.5879396984924,1e-04,99.97496763459631
3521.6080402010048,1e-04,99.97465084953414
3565.6281407035176,1e-04,99.97433406647951
3609.64824120603,1e-04,99.97401728543244
3653.668341708543,1e-04,99.97370050639286
3697.688442211055,1e-04,99.97338372936078
3741.708542713568,1e-04,99.97306695433616
3785.7286432160804,1e-04,99.97275018131901
3829.748743718593,1e-04,99.9724334103093
3873.7688442211056,1e-04,99.97211664130701
3917.788944723618,1e-04,99.97179987431211
3961.809045226131,1e-04,99.9714831093246
4005.829145728643,1e-04,99.97116634634445
4049.8492462311556,1e-04,99.97084958537164
4093.8693467336684,1e-04,99.97053282640614
4137.889447236181,1e-04,99.97021606944796
4181.909547738694,1e-04,99.96989931449706
4225.929648241206,1e-04,99.96958256155341
4269.949748743718,1e-04,99.96926581061703
4313.969849246231,1e-04,99.96894906168788
4357.989949748744,1e-04,99.96863231476591
4402.010050251256,1e-04,99.96831556985116
4446.030150753769,1e-04,99.96799882694354
4490.050251256282,1e-04,99.96768208604311
4534.070351758794,1e-04,99.9673653471498
4578.090452261306,1e-04,99.9670486102636
4622.110552763819,1e-04,99.96673187538448
4666.130653266332,1e-04,99.96641514251246
4710.150753768844,1e-04,99.96609841164748
4754.170854271357,1e-04,99.96578168278954
4798.19095477387,1e-04,99.96546495593861
4842.211055276382,1e-04,99.9651482310947
4886.231155778894,1e-04,99.96483150825776
4930.251256281407,1e-04,99.96451478742777
4974.271356783919,1e-04,99.96419806860473
5018.291457286432,1e-04,99.96388135178861
5062.311557788945,1e-04,99.9635646369794
5106.331658291458,1e-04,99.96324792417705
5150.35175879397,1e-04,99.9629312133816
5194.371859296482,1e-04,99.96261450459296
5238.391959798995,1e-04,99.96229779781117
5282.412060301507,1e-04,99.96198109303617
5326.43216080402,1e-04,99.96166439026798
5370.452261306533,1e-04,99.96134768950655
5414.472361809045,1e-04,99.96103099075187
5458.492462311558,1e-04,99.96071429400392
5502.51256281407,1e-04,99.96039759926269
5546.532663316583,1e-04,99.96008090652813
5590.552763819095,1e-04,99.95976421580028
5634.572864321608,1e-04,99.95944752707906
5678.592964824121,1e-04,99.95913084036448
5722.613065326633,1e-04,99.95881415565651
5766.633165829146,1e-04,99.95849747295516
5810.653266331658,1e-04,99.95818079226036
5854.673366834171,1e-04,99.95786411357214
5898.693467336683,1e-04,99.95754743689047
5942.713567839196,1e-04,99.9572307622153
5986.733668341709,1e-04,99.95691408954663
6030.753768844221,1e-04,99.95659741888446
6074.773869346734,1e-04,99.95628075022874
6118.793969849246,1e-04,99.95596408357947
6162.814070351758,1e-04,99.95564741893664
6206.834170854271,1e-04,99.9553307563002
6250.854271356784,1e-04,99.95501409567015
6294.874371859297,1e-04,99.95469743704646
6338.894472361809,1e-04,99.95438078042915
6382.914572864322,1e-04,99.95406412581815
6426.934673366834,1e-04,99.95374747321347
6470.954773869346,1e-04,99.95343082261508
6514.974874371859,1e-04,99.95311417402294
6558.994974874372,1e-04,99.95279752743708
6603.015075376884,1e-04,99.95248088285746
6647.035175879397,1e-04,99.95216424028405
6691.05527638191,1e-04,99.95184759971684
6735.075376884422,1e-04,99.9515309611558
6779.095477386934,1e-04,99.95121432460093
6823.115577889447,1e-04,99.95089769005219
6867.13567839196,1e-04,99.95058105750957
6911.155778894472,1e-04,99.95026442697306
6955.175879396985,1e-04,99.94994779844262
6999.195979899498,1e-04,99.94963117191826
7043.2160804020095,1e-04,99.94931454739992
7087.236180904522,1e-04,99.94899792488764
7131.256281407035,1e-04,99.94868130438135
7175.276381909548,1e-04,99.94836468588105
7219.29648241206,1e-04,99.94804806938672
7263.316582914573,1e-04,99.94773145489833
7307.336683417086,1e-04,99.94741484241587
7351.356783919598,1e-04,99.94709823193932
7395.37688442211,1e-04,99.94678162346868
7439.396984924623,1e-04,99.9464650170039
7483.417085427136,1e-04,99.94614841254497
