leak_rate,T (K),g/year,kg/year
5.150678076168121e-07,80,0.048905377345398224,4.890537734539822e-05
6.260516572014815e-07,80,0.05944322685359571,5.944322685359571e-05
7.609496685459867e-07,80,0.07225171158198879,7.225171158198879e-05
9.249147277217336e-07,80,0.0878200949518461,8.78200949518461e-05
1.124210035062086e-06,80,0.10674306405322334,0.00010674306405322334
1.3664483492953245e-06,80,0.1297434457309366,0.0001297434457309366
1.6608827826277165e-06,80,0.1576998174021238,0.0001576998174021238
2.018760254679039e-06,80,0.19168006729401366,0.00019168006729401366
2.4537511066398165e-06,80,0.23298218604876322,0.00023298218604876321
2.982471286216888e-06,80,0.2831838478687542,0.0002831838478687542
3.625117049988528e-06,80,0.34420267512199115,0.00034420267512199113
4.406236427773573e-06,80,0.41836948841815447,0.0004183694884181545
5.355666917706896e-06,80,0.5085173401898557,0.0005085173401898558
6.509675230458163e-06,80,0.6180897327180525,0.0006180897327180524
7.912342618981327e-06,80,0.7512721543553285,0.0007512721543553284
9.617248711152963e-06,80,0.9131519584182384,0.0009131519584182384
1.1689518164985777e-05,80,1.1099126918641005,0.0011099126918641005
1.4208308325339208e-05,80,1.3490702967936692,0.0013490702967936692
1.7269832906594325e-05,80,1.6397602072954773,0.0016397602072954773
2.0991037201085544e-05,80,1.9930863082674095,0.0019930863082674097
2.551406520031287e-05,80,2.4225450858786433,0.002422545085878643
3.1011689265747754e-05,80,2.9445411715343353,0.002944541171534335
3.7693909753883636e-05,80,3.579013972289452,0.003579013972289452
4.581597669054491e-05,80,4.350199323981071,0.004350199323981071
5.568813990945267e-05,80,5.287555260998258,0.005287555260998258
6.768750009458528e-05,80,6.426887265598778,0.006426887265598778
8.227241341700457e-05,80,7.811715979478507,0.0078117159794785064
9.999999999999999e-05,80,9.494939621965594,0.009494939621965594
9.999999999999999e-10,300,2.531983899190825e-05,2.531983899190825e-08
1.2154742500762884e-09,300,3.0775612310742056e-05,3.0775612310742056e-08
1.4773776525985095e-09,300,3.740696429403763e-05,3.7406964294037635e-08
1.795714494371641e-09,300,4.54672018729259e-05,4.54672018729259e-08
2.1826447283974827e-09,300,5.526421309956159e-05,5.5264213099561586e-08
2.6529484644318945e-09,300,6.717222797324582e-05,6.717222797324582e-08
3.2245905452963976e-09,300,8.164611342173446e-05,8.164611342173446e-08
3.919406774847213e-09,300,9.923874848292585e-05,9.923874848292585e-08
4.76393801040134e-09,300,0.00012062214339079369,1.2062214339079368e-07
5.790443980602495e-09,300,0.00014661310928051953,1.4661310928051954e-07
7.038135554931547e-09,300,0.00017820445905409164,1.7820445905409165e-07
8.554672535565684e-09,300,0.00021660293122902267,2.1660293122902266e-07
1.03979841848149e-08,300,0.0002632752853999217,2.632752853999217e-07
1.2638482029342972e-08,300,0.00032000433008509,3.2000433008509e-07
1.5361749466718295e-08,300,0.0003889570231313398,3.889570231313398e-07
