leak_rate_mbar_l_s,temperature_K,pressure_bar_abs,mass_flow_g_s,mass_flow_g_day,mass_flow_g_year,density_kg_m3,velocity_m_s,speed_of_sound_m_s,mach_est,critical_pressure_ratio,actual_pressure_ratio,is_choked
1e-05,80,12,7.22103553271397e-08,0.00623897470026487,2.278785509271744,7.221035532713968,0.005092958178940653,525.2244391921926,9.696727339599317e-06,0.48808375993399744,0.08333333333333333,1.0
1e-05,300,1,1.6046745628253264e-09,0.0001386438822281082,0.05063967798381652,0.1604674562825326,0.005092958178940653,1017.0927530062459,5.007368466530975e-06,0.48808375993399744,1.0,0.0
1e-05,300,5,8.023372814126633e-09,0.0006932194111405411,0.25319838991908267,0.8023372814126629,0.005092958178940654,1017.0927530062459,5.007368466530976e-06,0.48808375993399744,0.2,1.0
1e-05,300,12,1.925609475390392e-08,0.0016637265867372986,0.6076761358057983,1.9256094753903912,0.005092958178940653,1017.0927530062459,5.007368466530975e-06,0.48808375993399744,0.08333333333333333,1.0
0.0001,4,1,1.2035059221189947e-06,0.10398291167108113,37.979758487862384,12.035059221189945,0.05092958178940652,117.44375494779472,0.00043365082981249524,0.48808375993399744,1.0,0.0
0.0001,4,5,6.017529610594974e-06,0.5199145583554058,189.89879243931193,60.17529610594973,0.05092958178940652,117.44375494779472,0.00043365082981249524,0.48808375993399744,0.2,1.0
0.0001,4,12,1.4442071065427938e-05,1.2477949400529738,455.75710185434866,144.42071065427936,0.05092958178940651,117.44375494779472,0.00043365082981249514,0.48808375993399744,0.08333333333333333,1.0
0.0001,10,1,4.814023688475979e-07,0.04159316466843246,15.191903395144955,4.814023688475978,0.050929581789406514,185.6948812988504,0.0002742648662859067,0.48808375993399744,1.0,0.0
0.0001,10,5,2.4070118442379893e-06,0.20796582334216226,75.95951697572477,24.07011844237989,0.05092958178940652,185.6948812988504,0.0002742648662859067,0.48808375993399744,0.2,1.0
0.0001,10,12,5.776828426171176e-06,0.4991179760211896,182.3028407417395,57.76828426171174,0.05092958178940652,185.6948812988504,0.0002742648662859067,0.48808375993399744,0.08333333333333333,1.0
0.0001,20,1,2.4070118442379894e-07,0.02079658233421623,7.5959516975724775,2.407011844237989,0.050929581789406514,262.6122195960963,0.0001939345467919863,0.48808375993399744,1.0,0.0
0.0001,20,5,1.2035059221189947e-06,0.10398291167108113,37.979758487862384,12.035059221189945,0.05092958178940652,262.6122195960963,0.00019393454679198633,0.48808375993399744,0.2,1.0
0.0001,20,12,2.888414213085588e-06,0.2495589880105948,91.15142037086974,28.88414213085587,0.05092958178940652,262.6122195960963,0.00019393454679198633,0.48808375993399744,0.08333333333333333,1.0
0.0001,50,1,9.62804737695196e-08,0.008318632933686492,3.0383806790289913,0.9628047376951957,0.05092958178940652,415.22637765798396,0.00012265497697103552,0.48808375993399744,1.0,0.0
0.0001,50,5,4.814023688475979e-07,0.04159316466843246,15.191903395144955,4.814023688475978,0.050929581789406514,415.22637765798396,0.0001226549769710355,0.48808375993399744,0.2,1.0
0.0001,50,12,1.1553656852342352e-06,0.09982359520423792,36.4605681483479,11.553656852342348,0.05092958178940653,415.22637765798396,0.00012265497697103555,0.48808375993399744,0.08333333333333333,1.0
0.0001,80,1,6.017529610594974e-08,0.005199145583554057,1.8989879243931194,0.6017529610594973,0.050929581789406514,525.2244391921926,9.696727339599315e-05,0.48808375993399744,1.0,0.0
0.0001,80,5,3.0087648052974867e-07,0.025995727917770283,9.494939621965596,3.0087648052974862,0.05092958178940652,525.2244391921926,9.696727339599316e-05,0.48808375993399744,0.2,1.0
0.0001,80,12,7.22103553271397e-07,0.0623897470026487,22.787855092717436,7.221035532713968,0.05092958178940652,525.2244391921926,9.696727339599316e-05,0.48808375993399744,0.08333333333333333,1.0
0.0001,300,1,1.6046745628253263e-08,0.001386438822281082,0.5063967798381652,0.1604674562825326,0.05092958178940653,1017.0927530062459,5.007368466530975e-05,0.48808375993399744,1.0,0.0
0.0001,300,5,8.023372814126631e-08,0.006932194111405409,2.5319838991908257,0.8023372814126629,0.05092958178940653,1017.0927530062459,5.007368466530975e-05,0.48808375993399744,0.2,1.0
0.0001,300,12,1.925609475390392e-07,0.016637265867372984,6.076761358057983,1.9256094753903912,0.05092958178940652,1017.0927530062459,5.007368466530974e-05,0.48808375993399744,0.08333333333333333,1.0
